Jobs.JobName,PrintActions.Destination,Jobs.PrismaJobID,PrintActions.OriginalPages,PrintActions.Copies,datetimeTS,datetimeTE,TimeDifference
477594_SK_384_8_Y_N1_1881_0575.PDF,ProStream02,1812,131520,685,2024-04-06 14:16:00,2024-04-06 14:26:00,10.0
427600.SK_168_8_Y_A1_1881_0395.PDF,ProStream02,1813,40740,485,2024-04-06 14:33:00,2024-04-06 16:18:00,105.0
415166.SK_112_8_Y_N1_1881_0420.PDF,ProStream02,1814,28560,510,2024-04-06 16:15:00,2024-04-06 17:28:00,73.0
425631.SK_272_9_Y_N1_2011_0630.PDF,ProStream01,1806,100640,740,2024-04-06 17:09:00,2024-04-06 21:28:00,259.0
427068.SK_104_8_Y_R1_1881_0346.PDF,ProStream02,1815,22672,436,2024-04-06 17:25:00,2024-04-06 18:13:00,48.0
425480.SK_084_8_Y_N2_1881_0113.PDF,ProStream02,1816,8106,193,2024-04-06 18:20:00,2024-04-06 18:59:00,39.0
428420.SK_068_8_Y_N2_1881_0185.PDF,ProStream02,1817,9010,265,2024-04-06 18:56:00,2024-04-06 19:17:00,21.0
425939.SK_060_8_Y_N2_1881_0235.PDF,ProStream02,1818,9450,315,2024-04-06 19:14:00,2024-04-06 19:36:00,22.0
404109.SK_112_8_Y_N2_1881_0085.PDF,ProStream02,1819,9240,165,2024-04-06 19:33:00,2024-04-06 19:55:00,22.0
419659.SK_064_8_Y_R2_1881_0235.PDF,ProStream02,1820,10080,315,2024-04-06 19:52:00,2024-04-06 20:15:00,23.0
427205.SK_048_8_Y_N2_1881_0235.PDF,ProStream02,1821,7560,315,2024-04-06 20:12:00,2024-04-06 20:30:00,18.0
429158.SK_128_8_Y_N1_1881_0185.PDF,ProStream02,1822,16960,265,2024-04-06 20:27:00,2024-04-06 21:04:00,37.0
477594_SK_384_8_Y_N1_1881_0575.PDF,ProStream02,1812,131520,685,2024-04-08 08:15:00,2024-04-08 09:50:00,95.0
477594_SK_384_8_Y_N1_1881_0575.PDF,ProStream02,1812,131520,685,2024-04-08 09:52:00,2024-04-08 13:47:00,235.0
425631.SK_272_9_Y_N1_2011_0630.PDF,ProStream01,1806,100640,740,2024-04-08 10:38:00,2024-04-08 11:26:00,48.0
421820.SK_176_8_Y_N1_1811_0790.PDF,ProStream01,1823,79200,900,2024-04-08 11:51:00,2024-04-08 11:55:00,4.0
421820.SK_176_8_Y_N1_1811_0790.PDF,ProStream01,1823,79200,900,2024-04-08 11:57:00,2024-04-08 15:11:00,194.0
423756.SD_056_8_Y_N2_1881_0185.PDF,ProStream02,1824,7420,265,2024-04-08 13:57:00,2024-04-08 14:15:00,18.0
415719.SD_052_8_Y_N2_1881_0185.PDF,ProStream02,1825,6890,265,2024-04-08 14:12:00,2024-04-08 14:29:00,17.0
410994.SD_032_8_Y_N2_1881_0160.PDF,ProStream02,1826,3840,240,2024-04-08 14:26:00,2024-04-08 14:36:00,10.0
429521.SD_060_8_Y_N2_1881_0095.PDF,ProStream02,1827,5250,175,2024-04-08 14:34:00,2024-04-08 14:47:00,13.0
412299.SD_068_8_Y_N1_1881_0345.PDF,ProStream02,1828,14790,435,2024-04-08 14:44:00,2024-04-08 15:17:00,33.0
407858_SK_272_9_N_Y1_2012_0755.PDF,ProStream01,1832,102680,755,2024-04-08 15:09:00,2024-04-08 15:11:00,2.0
410622.SD_096_8_Y_N1_1881_0330.PDF,ProStream02,1829,20160,420,2024-04-08 15:14:00,2024-04-08 16:14:00,60.0
404691.SK_240_9_Y_Y1_2011_0395.PDF,ProStream01,1807,58200,485,2024-04-08 15:50:00,2024-04-08 18:16:00,146.0
422570.SD_040_8_Y_N1_1881_0370.PDF,ProStream02,1830,9200,460,2024-04-08 16:11:00,2024-04-08 16:32:00,21.0
426378.SD_060_8_Y_N1_1881_0305.PDF,ProStream02,1831,11850,395,2024-04-08 16:29:00,2024-04-08 16:56:00,27.0
425783.SK_080_8_Y_N2_1882_0185.PDF,ProStream02,1838,10600,265,2024-04-08 17:25:00,2024-04-08 17:50:00,25.0
422797.SK_064_8_Y_N1_1882_0385.PDF,ProStream02,1839,15200,475,2024-04-08 17:47:00,2024-04-08 18:20:00,33.0
414015.SK_128_8_Y_N1_1882_0335.PDF,ProStream02,1840,27200,425,2024-04-08 18:17:00,2024-04-08 19:14:00,57.0
407858_SK_272_9_N_Y1_2012_0755.PDF,ProStream01,1832,117640,865,2024-04-08 19:01:00,2024-04-08 21:04:00,123.0
403990.SK_104_8_Y_R1_1882_0555.PDF,ProStream02,1841,33540,645,2024-04-08 19:12:00,2024-04-08 21:03:00,111.0
428323.SK_088_8_Y_N1_1882_0265.PDF,ProStream02,1842,15180,345,2024-04-08 21:08:00,2024-04-08 21:34:00,26.0
428323.SK_088_8_Y_N1_1882_0265.PDF,ProStream02,1842,15180,345,2024-04-09 07:58:00,2024-04-09 08:05:00,7.0
407858_SK_272_9_N_Y1_2012_0755.PDF,ProStream01,1832,117640,865,2024-04-09 07:58:00,2024-04-09 09:58:00,120.0
428323.SK_088_8_Y_N1_1882_0265.PDF,ProStream02,1842,15180,345,2024-04-09 08:07:00,2024-04-09 08:28:00,21.0
421539.SK_096_8_Y_N1_1882_0265.PDF,ProStream02,1843,16560,345,2024-04-09 08:25:00,2024-04-09 09:06:00,41.0
410974.SK_088_8_Y_N1_1882_0562.PDF,ProStream02,1844,29568,672,2024-04-09 09:03:00,2024-04-09 10:20:00,77.0
407858_SK_272_9_N_Y1_2012_0755.PDF,ProStream01,1832,117640,865,2024-04-09 09:59:00,2024-04-09 13:07:00,188.0
